p,epsilon,nb
133.7187012,790.0382812,0.724
134.045085,791.2893534,0.725
134.3720608,792.5423989,0.726
134.6994313,793.7974177,0.727
135.0271964,795.0504632,0.728
135.3557509,796.305482,0.729
135.6847,797.5605008,0.73
136.0140438,798.8155196,0.731
136.3439795,800.0705384,0.732
136.6745073,801.3275305,0.733
137.0054297,802.5845226,0.734
137.3369441,803.8415147,0.735
137.6690505,805.0985068,0.736
138.0015515,806.3574722,0.737
138.3346446,807.6164376,0.738
138.6681323,808.875403,0.739
139.002212,810.1343684,0.74
139.3368836,811.3953071,0.741
139.67195,812.6542725,0.742
140.0076083,813.9152112,0.743
140.3436613,815.1781232,0.744
140.6803063,816.4390619,0.745
141.0175432,817.7019739,0.746
141.3551749,818.9629126,0.747
141.6933985,820.2277979,0.748
142.0322141,821.4907099,0.749
142.3714244,822.7555952,0.75
142.7112266,824.0185072,0.751
143.0514236,825.2833925,0.752
143.3924098,826.5502511,0.753
143.7335934,827.8151364,0.754
144.0755663,829.081995,0.755
144.4179338,830.3488536,0.756
144.760696,831.6157122,0.757
145.1040502,832.8845441,0.758
145.4479964,834.1514027,0.759
145.7925346,835.4202346,0.76
146.1374674,836.6890665,0.761
146.4829923,837.9598717,0.762
146.8289117,839.2287036,0.763
147.1754232,840.4995088,0.764
147.5225267,841.770314,0.765
147.8700248,843.0430925,0.766
148.2181149,844.3138977,0.767
148.5667971,845.5866762,0.768
148.9158738,846.8594547,0.769
149.2655426,848.1322332,0.77
149.6158033,849.406985,0.771
149.9664587,850.6797635,0.772
150.3177061,851.9545153,0.773
150.6693482,853.2292671,0.774
151.0215823,854.5059922,0.775
151.3744083,855.7827173,0.776
151.7278263,857.0574691,0.777
152.081639,858.3361675,0.778
152.4358464,859.6128926,0.779
152.790843,860.8896177,0.78
153.1462344,862.1683161,0.781
153.5022177,863.4470145,0.782
153.8585957,864.7276862,0.783
154.2155656,866.0063846,0.784
154.5731276,867.2870563,0.785
154.9310842,868.567728,0.786
155.2896328,869.8483997,0.787
155.6487734,871.1310447,0.788
156.0083087,872.4117164,0.789
156.3684359,873.6943614,0.79
156.7291552,874.9770064,0.791
157.0902691,876.2616247,0.792
157.451975,877.5442697,0.793
157.8142728,878.828888,0.794
158.1769654,880.1135063,0.795
158.5402499,881.4000979,0.796
158.9041264,882.6847162,0.797
159.2683976,883.9713078,0.798
159.6332608,885.2578994,0.799
159.9987159,886.544491,0.8
160.3645658,887.8330559,0.801
160.7310076,889.1216208,0.802
161.0980414,890.4101857,0.803
161.4654698,891.6987506,0.804
161.8334903,892.9873155,0.805
162.2021027,894.2778537,0.806
162.5713072,895.5683919,0.807
162.9409062,896.8589301,0.808
163.3109,898.1514416,0.809
163.6816831,899.4419798,0.81
164.0528608,900.7344913,0.811
164.4246305,902.0270028,0.812
164.7967949,903.3195143,0.813
165.1695513,904.6139991,0.814
165.5428996,905.9084839,0.815
165.91684,907.2029687,0.816
166.291175,908.4974535,0.817
166.666102,909.7939116,0.818
167.041621,911.0903697,0.819
167.4175346,912.3868278,0.82
167.7940403,913.6832859,0.821
168.1711379,914.979744,0.822
168.5486302,916.2781754,0.823
168.9267145,917.5766068,0.824
169.3053907,918.8750382,0.825
169.6844617,920.1754429,0.826
170.0641246,921.4738743,0.827
170.4443795,922.774279,0.828
170.8252264,924.0746837,0.829
171.206468,925.3770617,0.83
171.5883015,926.6774664,0.831
171.970727,927.9798444,0.832
172.3535472,929.2822224,0.833
172.7369594,930.5846004,0.834
173.1209636,931.8889517,0.835
173.5053625,933.193303,0.836
173.8903533,934.4976543,0.837
174.2759361,935.8020056,0.838
174.6621109,937.1083302,0.839
175.0486804,938.4126815,0.84
175.4358418,939.7190061,0.841
175.8235953,941.027304,0.842
176.2117434,942.3336286,0.843
176.6004835,943.6419265,0.844
176.9898156,944.9502244,0.845
177.3795423,946.2585223,0.846
177.7698611,947.5668202,0.847
178.1607718,948.8770914,0.848
178.5522745,950.1873626,0.849
178.9441719,951.4976338,0.85
179.3366613,952.807905,0.851
179.7297426,954.1201495,0.852
180.123416,955.432394,0.853
180.517484,956.7446385,0.854
180.912144,958.056883,0.855
181.3071987,959.3711008,0.856
181.7030426,960.6833453,0.857
182.0992813,961.9995364,0.858
182.4961119,963.3137542,0.859
182.8933372,964.627972,0.86
183.2911545,965.9441631,0.861
183.6895638,967.2603542,0.862
184.088565,968.5765453,0.863
184.4879609,969.8947097,0.864
184.8879488,971.2109008,0.865
185.2885287,972.5290652,0.866
185.6897006,973.8492029,0.867
186.0912672,975.1673673,0.868
186.4934257,976.487505,0.869
186.8961763,977.8076427,0.87
187.2993214,979.1277804,0.871
187.703256,980.4479181,0.872
188.1075851,981.7700291,0.873
188.512309,983.0921401,0.874
188.9178221,984.4142511,0.875
189.3237299,985.7363621,0.876
189.7302297,987.0604464,0.877
190.1371242,988.3845307,0.878
190.544808,989.708615,0.879
190.9528864,991.0326993,0.88
191.3615568,992.3567836,0.881
191.7706219,993.6828412,0.882
192.180279,995.0088988,0.883
192.5905281,996.3369297,0.884
193.0013691,997.6629873,0.885
193.4128022,998.9910182,0.886
193.8246299,1000.319049,0.887
194.2370496,1001.64708,0.888
194.6500613,1002.975111,0.889
195.0634676,1004.305115,0.89
195.477466,1005.635119,0.891
195.8920563,1006.965124,0.892
196.3072386,1008.297101,0.893
196.7228156,1009.627105,0.894
197.1389846,1010.959083,0.895
197.5549562,1012.293034,0.896
197.9732958,1013.625011,0.897
198.3916354,1014.958962,0.898
198.809975,1016.290939,0.899
199.2283146,1017.626863,0.9
199.6486275,1018.960814,0.901
200.0669671,1020.296738,0.902
200.48728,1021.630689,0.903
200.9095662,1022.966613,0.904
201.3318524,1024.304511,0.905
201.7521653,1025.640435,0.906
202.1764248,1026.978332,0.907
202.598711,1028.31623,0.908
203.0229705,1029.654127,0.909
203.44723,1030.993998,0.91
203.8714895,1032.333868,0.911
204.2977223,1033.673739,0.912
204.7239551,1035.01361,0.913
205.1501879,1036.355454,0.914
205.5764207,1037.695324,0.915
206.0046268,1039.037168,0.916
206.4328329,1040.380986,0.917
206.861039,1041.72283,0.918
207.2912184,1043.066647,0.919
207.7213978,1044.410464,0.92
208.1515772,1045.754282,0.921
208.5817566,1047.098099,0.922
209.0139093,1048.44389,0.923
209.446062,1049.78968,0.924
209.8782147,1051.135471,0.925
210.3103674,1052.483235,0.926
210.7444934,1053.829025,0.927
211.1786194,1055.176789,0.928
211.6127454,1056.524553,0.929
212.0488447,1057.87429,0.93
212.484944,1059.222054,0.931
212.9210433,1060.571791,0.932
213.3571426,1061.921529,0.933
213.7952152,1063.273239,0.934
214.2332878,1064.622976,0.935
214.6713604,1065.974687,0.936
215.1114063,1067.326397,0.937
215.5494789,1068.678108,0.938
215.9895248,1070.031792,0.939
216.431544,1071.385475,0.94
216.8715899,1072.739159,0.941
217.3136091,1074.092843,0.942
217.7576016,1075.4485,0.943
218.1996208,1076.802184,0.944
218.6436133,1078.157841,0.945
